,Player,Height (m),Weight (kg),Born,NBA_Rookie,NBA_Retired,Position,Birth Date,Pos,Team
1107,Wilbur Holland,183.0,79.0,1951.0,1976.0,1979.0,G,"November 8, 1951",,
1108,Lionel Hollins,190.0,83.0,1953.0,1976.0,1985.0,G,"October 19, 1953",,
1109,Steve Jones,196.0,92.0,1942.0,1968.0,1976.0,G-F,"October 17, 1942",,
1110,Rich Kelley,213.0,106.0,1953.0,1976.0,1986.0,C-F,"March 23, 1953",,
1111,Tom Kropp,190.0,92.0,1953.0,1976.0,1977.0,G,"February 12, 1953",,
1112,C.J. Kupec,190.0,92.0,1953.0,1976.0,1978.0,F-C,"January 16, 1953",,
1113,John Lambert,208.0,102.0,1953.0,1976.0,1982.0,C-F,"January 14, 1953",,
1114,John Laskowski,198.0,83.0,1953.0,1976.0,1977.0,G,"June 7, 1953",,
1115,Greg Lee,190.0,86.0,1951.0,1975.0,1976.0,G,"December 12, 1951",,
1116,Clyde Mayes,203.0,102.0,1953.0,1976.0,1977.0,F,"March 17, 1953",,
1117,Ken Mayfield,188.0,83.0,1948.0,1976.0,1976.0,G,"May 11, 1948",,
1118,Jim McElroy,190.0,86.0,1953.0,1976.0,1982.0,G,"October 4, 1953",,
1119,George McGinnis,203.0,106.0,1950.0,1972.0,1982.0,F-C,"August 12, 1950",,
1120,Tom McMillen,211.0,97.0,1952.0,1976.0,1986.0,F-C,"May 26, 1952",,
1121,Joe Meriweather,208.0,97.0,1953.0,1976.0,1985.0,C-F,"October 26, 1953",,
1122,Dave Meyers,203.0,97.0,1953.0,1976.0,1980.0,F-C,"April 21, 1953",,
1123,Frank Oleynick,188.0,83.0,1955.0,1976.0,1977.0,G,"February 20, 1955",,
1124,Cliff Pondexter,206.0,105.0,1954.0,1976.0,1978.0,F-C,"September 15, 1954",,
1125,Bill Robinzine,201.0,104.0,1953.0,1976.0,1982.0,F,"January 20, 1953",,
1126,John Roche,190.0,77.0,1949.0,1972.0,1982.0,G,"September 26, 1949",,
1127,Bruce Seals,203.0,95.0,1953.0,1974.0,1978.0,F,"June 18, 1953",,
1128,Ed Searcy,198.0,95.0,1952.0,1976.0,1976.0,F,"April 17, 1952",,
1129,Gene Short,198.0,90.0,1953.0,1976.0,1976.0,F,"August 7, 1953",,
1130,John Shumate,206.0,106.0,1952.0,1976.0,1981.0,F-C,"April 6, 1952",,
1131,Ricky Sobers,190.0,89.0,1953.0,1976.0,1986.0,G,"January 15, 1953",,
1132,Terry Thomas,203.0,99.0,1953.0,1976.0,1976.0,F,"August 20, 1953",,
1133,Rudy White,188.0,88.0,1953.0,1976.0,1981.0,G,"June 23, 1953",,
1134,Gus Williams,188.0,79.0,1953.0,1976.0,1987.0,G,"October 10, 1953",,
1135,Bill Willoughby,203.0,92.0,1957.0,1976.0,1984.0,F-C,"May 20, 1957",,
1136,Tom Abernethy,201.0,99.0,1954.0,1977.0,1981.0,F,"May 6, 1954",,
1137,Bird Averitt,185.0,77.0,1952.0,1974.0,1978.0,G,"July 22, 1952",,
1138,Tom Barker,211.0,102.0,1955.0,1977.0,1979.0,C-F,"March 11, 1955",,
1139,Marvin Barnes,203.0,95.0,1952.0,1975.0,1980.0,F-C,"July 27, 1952",,
1140,Norton Barnhill,193.0,92.0,1953.0,1977.0,1977.0,G,"July 15, 1953",,
1141,Mike Barr,190.0,81.0,1950.0,1973.0,1977.0,G,"October 19, 1950",,
1142,Tim Bassett,203.0,102.0,1951.0,1974.0,1980.0,F-C,"April 1, 1951",,
1143,Byron Beck,206.0,102.0,1945.0,1968.0,1977.0,C-F,"January 25, 1945",,
1144,Mel Bennett,201.0,90.0,1955.0,1976.0,1982.0,F,"January 4, 1955",,
1145,Ron Boone,188.0,90.0,1946.0,1969.0,1981.0,G-F,"September 6, 1946",,
1146,Quinn Buckner,190.0,86.0,1954.0,1977.0,1986.0,G,"August 20, 1954",,
1147,Ticky Burden,188.0,83.0,1953.0,1976.0,1978.0,G,"February 28, 1953",,
1148,Don Buse,193.0,86.0,1950.0,1973.0,1985.0,G,"August 10, 1950",,
1149,Mack Calvin,183.0,74.0,1947.0,1970.0,1981.0,G,"July 27, 1947",,
1150,M.L. Carr,183.0,74.0,1947.0,1976.0,1985.0,F-G,"January 9, 1951",,
1151,Cornelius Cash,203.0,97.0,1952.0,1977.0,1977.0,F,"March 3, 1952",,
1152,Norm Cook,203.0,95.0,1955.0,1977.0,1978.0,F,"March 21, 1955",,
1153,Louie Dampier*,183.0,77.0,1944.0,,,,,,
1154,Mel Daniels*,206.0,99.0,1944.0,,,,,,
1155,Adrian Dantley*,196.0,94.0,1956.0,,,,,,
1156,Johnny Davis,188.0,77.0,1955.0,1977.0,1986.0,G,"October 21, 1955",,
1157,Ron Davis,198.0,89.0,1954.0,1977.0,1982.0,G-F,"May 1, 1954",,
1158,Randy Denton,208.0,108.0,1949.0,1972.0,1977.0,C,"February 18, 1949",,
1159,Coby Dietrick,208.0,99.0,1948.0,1971.0,1983.0,C-F,"July 23, 1948",,
1160,Leon Douglas,208.0,104.0,1954.0,1977.0,1983.0,C-F,"August 26, 1954",,
1161,Mike Dunleavy,190.0,81.0,1954.0,1977.0,1990.0,G,"March 21, 1954",,
1163,Jim Eakins,211.0,97.0,1946.0,1969.0,1978.0,C,"May 24, 1946",,
1164,Len Elmore,206.0,99.0,1952.0,1975.0,1984.0,C-F,"March 28, 1952",,
1165,Darrell Elston,193.0,86.0,1952.0,1975.0,1977.0,G,"August 15, 1952",,
1166,Alex English*,201.0,86.0,1954.0,,,,,,
1167,Julius Erving*,201.0,95.0,1950.0,,,,,,
1168,Butch Feher,193.0,83.0,1954.0,1977.0,1977.0,G,"May 19, 1954",,
1169,Mike Flynn,188.0,81.0,1953.0,1976.0,1978.0,G,"July 31, 1953",,
1170,Terry Furlow,193.0,86.0,1954.0,1977.0,1980.0,G-F,"October 18, 1954",,
1171,Mike Gale,193.0,83.0,1950.0,1972.0,1982.0,G,"July 18, 1950",,
1172,Gus Gerard,203.0,90.0,1953.0,1975.0,1981.0,F-G,"July 27, 1953",,
1173,George Gervin*,201.0,81.0,1952.0,,,,,,
1174,Artis Gilmore*,218.0,108.0,1949.0,,,,,,
1175,Mike Green,208.0,90.0,1951.0,1974.0,1980.0,C-F,"August 6, 1951",,
1176,Steve Green,201.0,99.0,1953.0,1976.0,1979.0,F,"October 4, 1953",,
1177,Paul Griffin,206.0,92.0,1954.0,1977.0,1983.0,F-C,"January 20, 1954",,
1178,Rudy Hackett,206.0,95.0,1953.0,1976.0,1977.0,F,"May 10, 1953",,
1179,Phil Hicks,201.0,92.0,1953.0,1977.0,1979.0,F,"January 31, 1953",,
1180,Armond Hill,193.0,86.0,1953.0,1977.0,1984.0,G,"March 31, 1953",,
1181,Darnell Hillman,206.0,97.0,1949.0,1972.0,1980.0,F-C,"August 29, 1949",,
1182,Mo Howard,188.0,77.0,1954.0,1977.0,1977.0,G,"August 25, 1954",,
1183,Kim Hughes,211.0,99.0,1952.0,1976.0,1981.0,C,"June 4, 1952",,
1184,Dan Issel*,206.0,106.0,1948.0,,,,,,
1185,Dennis Johnson*,193.0,83.0,1954.0,,,,,,
1186,Bobby Jones,206.0,95.0,1951.0,1975.0,1986.0,F,"December 18, 1951",,
1188,Caldwell Jones,211.0,98.0,1950.0,1974.0,1990.0,C-F,"August 4, 1950",,
1189,Rich Jones,198.0,99.0,1946.0,1970.0,1977.0,F-C,"December 27, 1946",,
1190,Robin Jones,206.0,102.0,1954.0,1977.0,1978.0,F-C,"February 2, 1954",,
1191,Wil Jones,190.0,83.0,1936.0,1970.0,1978.0,F,"February 27, 1947",,
1192,George Karl,190.0,83.0,1952.0,1974.0,1978.0,,"May 12, 1952",,
1193,Goo Kennedy,196.0,92.0,1949.0,1972.0,1977.0,F-C,"August 23, 1949",,
1194,Larry Kenon,206.0,92.0,1952.0,1974.0,1983.0,F,"December 13, 1952",,
1195,Billy Knight,198.0,88.0,1952.0,1975.0,1985.0,G-F,"June 9, 1952",,
1196,Mitch Kupchak,206.0,104.0,1954.0,1977.0,1986.0,F-C,"May 24, 1954",,
1197,Bo Lamar,185.0,81.0,1951.0,1974.0,1977.0,G,"April 7, 1951",,
1198,Ron Lee,193.0,87.0,1952.0,1977.0,1982.0,G,"November 2, 1952",,
1199,Scott Lloyd,208.0,104.0,1952.0,1977.0,1983.0,C-F,"December 19, 1952",,
1200,John Lucas,190.0,79.0,1953.0,1977.0,1990.0,G,"October 31, 1953",,
1201,Maurice Lucas,206.0,97.0,1952.0,1975.0,1988.0,F-C,"February 18, 1952",,
1202,Moses Malone*,208.0,97.0,1955.0,,,,,,
1203,Scott May,201.0,97.0,1954.0,1977.0,1983.0,F,"March 19, 1954",,
1204,Andre McCarter,190.0,86.0,1953.0,1977.0,1981.0,G,"August 25, 1953",,
1205,Ted McClain,185.0,81.0,1946.0,1972.0,1979.0,G,"August 30, 1946",,
1206,Allen Murphy,196.0,86.0,1952.0,1976.0,1977.0,G,"July 15, 1952",,
1207,Swen Nater,211.0,108.0,1950.0,1974.0,1984.0,C,"January 14, 1950",,
1208,Johnny Neumann,198.0,90.0,1951.0,1972.0,1978.0,G-F,"September 11, 1951",,
1209,Mark Olberding,203.0,102.0,1956.0,1976.0,1987.0,F,"April 21, 1956",,
1210,Tom Owens,208.0,97.0,1949.0,1972.0,1983.0,C-F,"June 28, 1949",,
1211,Joe Pace,208.0,99.0,1953.0,1977.0,1978.0,C,"December 18, 1953",,
1212,Robert Parish*,213.0,104.0,1953.0,,,,,,
1213,Sonny Parker,198.0,90.0,1955.0,1977.0,1982.0,F-G,"March 22, 1955",,
1214,Billy Paultz,211.0,106.0,1948.0,1971.0,1985.0,C-F,"July 30, 1948",,
1215,Marv Roberts,203.0,90.0,1950.0,1972.0,1977.0,F-C,"January 29, 1950",,
1216,Dave Robisch,208.0,106.0,1949.0,1972.0,1984.0,C-F,"December 22, 1949",,
1217,Marshall Rogers,185.0,86.0,1953.0,1977.0,1977.0,G,"August 27, 1953",,
1218,Dan Roundfield,203.0,92.0,1953.0,1976.0,1987.0,F-C,"May 26, 1953",,
1219,Phil Sellers,193.0,88.0,1953.0,1977.0,1977.0,F-G,"November 20, 1953",,
1220,Lonnie Shelton,203.0,108.0,1955.0,1977.0,1986.0,F-C,"October 19, 1955",,
1221,James Silas,185.0,81.0,1949.0,1973.0,1982.0,G,"February 11, 1949",,
1222,Ralph Simpson,196.0,90.0,1949.0,1971.0,1980.0,G-F,"August 10, 1949",,
1223,Al Skinner,190.0,86.0,1952.0,1975.0,1980.0,G,"June 16, 1952",,
1224,Willie Smith,213.0,99.0,1949.0,1977.0,1980.0,G,"October 26, 1953",,
1225,Keith Starr,198.0,86.0,1954.0,1977.0,1977.0,G-F,"March 14, 1954",,
1226,Earl Tatum,196.0,83.0,1953.0,1977.0,1980.0,G-F,"July 26, 1953",,
1227,Brian Taylor,188.0,83.0,1951.0,1973.0,1982.0,G,"June 9, 1951",,
1228,Fatty Taylor,183.0,79.0,1946.0,1970.0,1977.0,G,"March 13, 1946",,
1229,Ira Terrell,203.0,90.0,1954.0,1977.0,1979.0,F-C,"June 19, 1954",,
1230,Claude Terry,193.0,88.0,1950.0,1973.0,1978.0,G-F,"January 12, 1950",,
1231,David Thompson*,193.0,88.0,1954.0,,,,,,
1232,Monte Towe,170.0,68.0,1953.0,1976.0,1977.0,G,"September 27, 1953",,
1233,Dave Twardzik,185.0,79.0,1950.0,1973.0,1980.0,G,"September 20, 1950",,
1234,Jan Van,185.0,79.0,1950.0,,,,,,
1235,Andy Walker,193.0,86.0,1955.0,1977.0,1977.0,G,"March 25, 1955",,
1236,Wally Walker,201.0,86.0,1954.0,1977.0,1984.0,F,"July 18, 1954",,
1237,Lloyd Walton,183.0,72.0,1953.0,1977.0,1981.0,G,"November 23, 1953",,
1238,Henry Ward,193.0,88.0,1952.0,1976.0,1977.0,G-F,"January 30, 1952",,
1239,Richard Washington,211.0,99.0,1955.0,1977.0,1982.0,F-C,"July 15, 1955",,
1240,Marvin Webster,216.0,102.0,1952.0,1976.0,1987.0,C,"April 13, 1952",,
1241,Bob Wilkerson,198.0,88.0,1954.0,1977.0,1983.0,G-F,"August 15, 1954",,
1242,Chuck Williams,183.0,74.0,1943.0,1971.0,1978.0,G,"June 6, 1946",,
1243,Chuckie Williams,183.0,74.0,1943.0,1977.0,1977.0,G,"December 31, 1953",,
1244,John Williamson,188.0,83.0,1951.0,1974.0,1981.0,G,"November 10, 1951",,
1245,Willie Wise,196.0,95.0,1947.0,1970.0,1978.0,F,"March 3, 1947",,
1246,Larry Wright,185.0,72.0,1954.0,1977.0,1982.0,G,"November 23, 1954",,
1247,Tate Armstrong,190.0,79.0,1955.0,1978.0,1979.0,G,"October 5, 1955",,
1248,Greg Ballard,201.0,97.0,1955.0,1978.0,1989.0,F,"January 29, 1955",,
1249,Kent Benson,208.0,106.0,1954.0,1978.0,1988.0,C,"December 27, 1954",,
1250,Otis Birdsong,190.0,86.0,1955.0,1978.0,1989.0,G,"December 9, 1955",,
1251,Phil Bond,188.0,79.0,1954.0,1978.0,1978.0,G,"July 27, 1954",,
1252,Jim Bostic,201.0,102.0,1953.0,1978.0,1978.0,F,"January 28, 1953",,
1253,Alonzo Bradley,198.0,86.0,1953.0,1978.0,1980.0,F,"October 16, 1953",,
1254,Mike Bratz,188.0,83.0,1955.0,1978.0,1986.0,G,"October 17, 1955",,
1255,Wayman Britt,188.0,83.0,1952.0,1978.0,1978.0,G,"August 31, 1952",,
1256,Kenny Carr,201.0,99.0,1955.0,1978.0,1987.0,F,"August 15, 1955",,
1257,Bob Carrington,198.0,88.0,1953.0,1978.0,1980.0,G-F,"July 3, 1953",,
1258,Wesley Cox,198.0,97.0,1955.0,1978.0,1979.0,F,"January 27, 1955",,
1259,Charlie Criss,173.0,74.0,1948.0,1978.0,1985.0,G,"November 6, 1948",,
1260,Mark Crow,201.0,95.0,1954.0,1978.0,1978.0,F,"October 22, 1954",,
1261,Brad Davis,190.0,81.0,1955.0,1978.0,1992.0,G,"December 17, 1955",,
1262,Walter Davis,203.0,92.0,1931.0,1978.0,1992.0,G-F,"September 9, 1954",,
1263,Jacky Dorsey,201.0,104.0,1954.0,1978.0,1981.0,F,"December 18, 1954",,
1264,T.R. Dunn,201.0,104.0,1954.0,1978.0,1991.0,G-F,"February 1, 1955",,
1265,James Edwards,213.0,102.0,1955.0,1978.0,1996.0,C-F,"November 22, 1955",,
1266,Bo Ellis,196.0,83.0,1936.0,1978.0,1980.0,F,"August 8, 1954",,
1267,Al Fleming,201.0,97.0,1954.0,1978.0,1978.0,F,"April 5, 1954",,
1268,Bayard Forrest,208.0,106.0,1954.0,1978.0,1979.0,C,"July 8, 1954",,
1269,Mike Glenn,188.0,79.0,1955.0,1978.0,1987.0,G,"September 10, 1955",,
1270,Glen Gondrezick,198.0,98.0,1955.0,1978.0,1983.0,F-G,"August 30, 1955",,
1271,Rickey Green,183.0,77.0,1954.0,1978.0,1992.0,G,"August 18, 1954",,
1272,Greg Griffin,201.0,86.0,1952.0,1978.0,1978.0,F,"September 6, 1952",,
1273,Ernie Grunfeld,198.0,95.0,1955.0,1978.0,1986.0,G-F,"April 24, 1955",,
1274,Joe Hassett,196.0,81.0,1955.0,1978.0,1983.0,G,"September 11, 1955",,
1275,Eddie Johnson,203.0,92.0,1944.0,1978.0,1987.0,G,"February 24, 1955",,
1277,Larry Johnson,190.0,92.0,1954.0,1978.0,1978.0,G,"November 28, 1954",,
1279,Marques Johnson,201.0,98.0,1956.0,1978.0,1990.0,F-G,"February 8, 1956",,
1280,Eddie Jordan,185.0,77.0,1955.0,1978.0,1984.0,G,"January 29, 1955",,
1281,Bernard King*,201.0,92.0,1956.0,,,,,,
1282,Toby Knight,206.0,95.0,1955.0,1978.0,1982.0,F,"May 3, 1955",,
1283,John Kuester,188.0,81.0,1955.0,1978.0,1980.0,G,"February 6, 1955",,
1284,Tom LaGarde,208.0,99.0,1955.0,1978.0,1985.0,C-F,"February 10, 1955",,
1285,Mark Landsberger,203.0,97.0,1955.0,1978.0,1984.0,F-C,"May 21, 1955",,
1286,Rich Laurel,198.0,86.0,1954.0,1978.0,1978.0,G,"July 11, 1954",,
1287,Ricky Marsh,190.0,90.0,1954.0,1978.0,1978.0,G,"March 10, 1954",,
1288,Cedric Maxwell,203.0,92.0,1955.0,1978.0,1988.0,F,"November 21, 1955",,
1289,Larry Moffett,203.0,95.0,1954.0,1978.0,1978.0,F,"November 5, 1954",,
1290,Glenn Mosley,203.0,88.0,1955.0,1978.0,1979.0,F,"December 26, 1955",,
1291,Norm Nixon,188.0,77.0,1955.0,1978.0,1989.0,G,"October 11, 1955",,
1292,Eddie Owens,201.0,95.0,1953.0,1978.0,1978.0,F,"December 26, 1953",,
1293,Ben Poquette,206.0,106.0,1955.0,1978.0,1987.0,F-C,"May 7, 1955",,
1294,Robert Reid,203.0,92.0,1955.0,1978.0,1991.0,F-G,"August 30, 1955",,
1295,Anthony Roberts,196.0,83.0,1955.0,1978.0,1984.0,F-G,"April 15, 1955",,
1296,Tony Robertson,193.0,88.0,1956.0,1978.0,1979.0,G,"January 1, 1956",,
1297,Tree Rollins,216.0,106.0,1955.0,1978.0,1995.0,C,"June 16, 1955",,
1298,Alvin Scott,201.0,83.0,1955.0,1978.0,1985.0,F-G,"September 14, 1955",,
1299,Steve Sheppard,198.0,97.0,1954.0,1978.0,1979.0,F,"March 21, 1954",,
1300,Jack Sikma,211.0,104.0,1955.0,1978.0,1991.0,C-F,"November 14, 1955",,
1301,Scott Sims,185.0,77.0,1955.0,1978.0,1978.0,G,"April 18, 1955",,
1302,Robert Smith,180.0,74.0,1955.0,1978.0,1985.0,G,"March 10, 1955",,
1303,Phil Walker,190.0,81.0,1956.0,1978.0,1978.0,G,"March 20, 1956",,
1304,Wilson Washington,206.0,102.0,1955.0,1978.0,1979.0,F-C,"August 3, 1955",,
1305,Ray Williams,190.0,85.0,1954.0,1978.0,1987.0,G,"October 14, 1954",,
1306,Kim Anderson,201.0,90.0,1955.0,1979.0,1979.0,F,"May 12, 1955",,
1307,Del Beshore,180.0,74.0,1956.0,1979.0,1980.0,G,"November 29, 1956",,
1308,Dennis Boyd,185.0,79.0,1954.0,1979.0,1979.0,G,"May 21, 1954",,
1309,Winford Boynes,198.0,83.0,1957.0,1979.0,1981.0,G-F,"May 17, 1957",,
1310,Ron Brewer,193.0,81.0,1955.0,1979.0,1986.0,G,"September 16, 1955",,
1311,Greg Bunch,198.0,86.0,1956.0,1979.0,1979.0,F,"May 15, 1956",,
1312,Marty Byrnes,201.0,97.0,1956.0,1979.0,1983.0,F,"April 30, 1956",,
1313,Ron Carter,196.0,86.0,1956.0,1979.0,1980.0,G,"August 31, 1956",,
1314,Maurice Cheeks,185.0,81.0,1956.0,1979.0,1993.0,G,"September 8, 1956",,
1315,Michael Cooper,196.0,77.0,1956.0,1979.0,1990.0,G-F,"April 15, 1956",,
1316,Wayne Cooper,208.0,99.0,1956.0,1979.0,1992.0,C-F,"November 16, 1956",,
1317,Dave Corzine,211.0,113.0,1956.0,1979.0,1991.0,C,"April 25, 1956",,
1318,Geoff Crompton,211.0,127.0,1955.0,1979.0,1984.0,C,"July 4, 1955",,
1319,Harry Davis,201.0,99.0,1956.0,1979.0,1980.0,F,"January 27, 1956",,
1320,Bob Elliott,206.0,102.0,1955.0,1979.0,1981.0,C-F,"August 18, 1955",,
1321,Ray Epps,198.0,88.0,1956.0,1979.0,1979.0,F,"August 20, 1956",,
1322,Phil Ford,188.0,79.0,1956.0,1979.0,1985.0,G,"February 9, 1956",,
1323,Jack Givens,196.0,92.0,1956.0,1979.0,1980.0,F-G,"September 21, 1956",,
1324,Tommie Green,188.0,83.0,1956.0,1979.0,1979.0,G,"April 8, 1956",,
1325,Lars Hansen,208.0,102.0,1954.0,1979.0,1979.0,C,"September 14, 1954",,
1326,James Hardy,203.0,99.0,1956.0,1979.0,1982.0,F-C,"December 1, 1956",,
1327,Keith Herron,198.0,88.0,1956.0,1979.0,1982.0,G-F,"June 14, 1956",,
1328,Kenny Higgs,183.0,81.0,1955.0,1979.0,1982.0,G,"January 31, 1955",,
1329,Essie Hollis,198.0,88.0,1955.0,1979.0,1979.0,F,"May 16, 1955",,
1330,Otis Howard,201.0,99.0,1956.0,1979.0,1979.0,F,"November 5, 1956",,
1331,Clemon Johnson,208.0,108.0,1956.0,1979.0,1988.0,C-F,"September 12, 1956",,
1332,Jeff Judkins,198.0,83.0,1956.0,1979.0,1983.0,G-F,"March 23, 1956",,
1333,Joel Kramer,201.0,92.0,1955.0,1979.0,1983.0,F-C,"November 30, 1955",,
1334,Butch Lee,183.0,83.0,1956.0,1979.0,1980.0,G,"December 5, 1956",,
1335,John Long,196.0,88.0,1956.0,1979.0,1997.0,G-F,"August 28, 1956",,
1336,Billy McKinney,183.0,72.0,1955.0,1979.0,1986.0,G,"June 5, 1955",,
1337,Mike Mitchell,201.0,97.0,1956.0,1979.0,1988.0,F,"January 1, 1956",,
1338,John Olive,201.0,95.0,1955.0,1979.0,1980.0,F,"March 1, 1955",,
1339,Roger Phegley,198.0,92.0,1956.0,1979.0,1984.0,G-F,"October 16, 1956",,
1340,Stan Pietkiewicz,196.0,90.0,1956.0,1979.0,1981.0,G-F,"July 14, 1956",,
1341,Wayne Radford,190.0,92.0,1956.0,1979.0,1979.0,G,"May 29, 1956",,
1342,Marlon Redmond,198.0,85.0,1955.0,1979.0,1980.0,G,"April 15, 1955",,
1343,Micheal Ray,198.0,85.0,1955.0,,,,,,
1344,Rick Robey,211.0,104.0,1956.0,1979.0,1986.0,C-F,"January 30, 1956",,
1345,Jackie Robinson,198.0,95.0,1955.0,1979.0,1982.0,F,"May 20, 1955",,
1346,John Rudd,201.0,104.0,1955.0,1979.0,1979.0,F,"August 7, 1955",,
1347,Frankie Sanders,198.0,90.0,1957.0,1979.0,1981.0,F-G,"January 23, 1957",,
1348,Purvis Short,201.0,95.0,1957.0,1979.0,1990.0,F-G,"July 2, 1957",,
1349,Sam Smith,201.0,104.0,1944.0,1968.0,1971.0,F,"January 27, 1944",,
1351,Reggie Theus,201.0,86.0,1957.0,1979.0,1991.0,G,"October 13, 1957",,
1352,Mychal Thompson,208.0,102.0,1955.0,1979.0,1991.0,C-F,"January 30, 1955",,
1353,Raymond Townsend,190.0,79.0,1955.0,1979.0,1982.0,G,"December 20, 1955",,
1354,Terry Tyler,201.0,97.0,1956.0,1979.0,1989.0,F-G,"October 30, 1956",,
1355,Andre Wakefield,190.0,79.0,1955.0,1979.0,1980.0,G,"January 11, 1955",,
1356,Jerome Whitehead,208.0,99.0,1956.0,1979.0,1989.0,C-F,"September 30, 1956",,
1357,Freeman Williams,193.0,86.0,1956.0,1979.0,1986.0,G-F,"May 15, 1956",,
1358,Rick Wilson,196.0,90.0,1956.0,1979.0,1980.0,G,"February 7, 1956",,
1359,James Bailey,206.0,99.0,1957.0,1980.0,1988.0,F-C,"May 21, 1957",,
1360,Billy Ray,206.0,99.0,1957.0,,,,,,
1361,Larry Bird*,206.0,99.0,1956.0,,,,,,
1362,Lawrence Boston,203.0,102.0,1956.0,1980.0,1980.0,F,"May 18, 1956",,
1363,Dudley Bradley,198.0,88.0,1957.0,1980.0,1989.0,G-F,"March 19, 1957",,
1364,Bill Cartwright,216.0,111.0,1957.0,1980.0,1995.0,C,"July 30, 1957",,
1365,Jeff Cook,208.0,97.0,1956.0,1980.0,1988.0,F-C,"October 21, 1956",,
1366,Hollis Copeland,198.0,81.0,1955.0,1980.0,1982.0,F,"December 20, 1955",,
1367,John Coughran,201.0,102.0,1951.0,1980.0,1980.0,F,"September 12, 1951",,
1368,Terry Crosby,193.0,88.0,1957.0,1980.0,1980.0,G,"January 4, 1957",,
1369,Pat Cummings,206.0,104.0,1956.0,1980.0,1991.0,F-C,"July 11, 1956",,
1370,Paul Dawkins,196.0,86.0,1957.0,1980.0,1980.0,F,"June 10, 1957",,
1371,Greg Deane,193.0,86.0,1957.0,1980.0,1980.0,G,"December 6, 1957",,
1372,Larry Demic,206.0,102.0,1957.0,1980.0,1982.0,F-C,"June 27, 1957",,
1373,Terry Duerod,188.0,81.0,1956.0,1980.0,1983.0,G,"July 29, 1956",,
1374,Earl Evans,203.0,91.0,1955.0,1980.0,1980.0,F,"November 11, 1955",,
1375,Mike Evans,185.0,77.0,1955.0,1980.0,1988.0,G,"April 19, 1955",,
1376,Gary Garland,193.0,81.0,1957.0,1980.0,1980.0,G,"October 12, 1957",,
1377,Dave Greenwood,206.0,100.0,1957.0,1980.0,1991.0,F-C,"May 27, 1957",,
1378,Roy Hamilton,188.0,81.0,1957.0,1980.0,1981.0,G,"July 20, 1957",,
1379,Gerald Henderson,188.0,79.0,1956.0,1980.0,1992.0,G,"January 16, 1956",,
1381,Johnny High,190.0,83.0,1957.0,1980.0,1984.0,G,"April 25, 1957",,
1382,Brad Holland,190.0,81.0,1956.0,1980.0,1982.0,G,"December 6, 1956",,
1383,Phil Hubbard,203.0,97.0,1956.0,1980.0,1989.0,F-C,"December 13, 1956",,
1384,Geoff Huston,188.0,79.0,1957.0,1980.0,1987.0,G,"November 8, 1957",,
1385,Abdul Jeelani,203.0,95.0,1954.0,1980.0,1981.0,F-C,"February 10, 1954",,
1386,Cheese Johnson,183.0,77.0,1949.0,1980.0,1980.0,F-G,"September 7, 1957",,
1387,Magic Johnson*,201.0,98.0,1956.0,,,,,,
1388,Vinnie Johnson,188.0,90.0,1956.0,1980.0,1992.0,G,"September 1, 1956",,
1389,Major Jones,206.0,102.0,1953.0,1980.0,1985.0,F,"July 9, 1953",,
1390,Greg Kelser,201.0,86.0,1957.0,1980.0,1985.0,F,"September 17, 1957",,
1391,Irv Kiffin,206.0,102.0,1951.0,1980.0,1980.0,F,"August 8, 1951",,
1392,Carl Kilpatrick,208.0,104.0,1956.0,1980.0,1980.0,C,"May 16, 1956",,
1393,Reggie King,198.0,102.0,1957.0,1980.0,1985.0,F,"February 14, 1957",,
1394,Arvid Kramer,206.0,99.0,1956.0,1980.0,1980.0,C,"October 2, 1956",,
1395,Allen Leavell,185.0,77.0,1957.0,1980.0,1989.0,G,"May 27, 1957",,
1396,Ollie Mack,190.0,83.0,1957.0,1980.0,1982.0,G,"June 6, 1957",,
1397,Steve Malovic,208.0,104.0,1956.0,1980.0,1980.0,F,"July 21, 1956",,
1398,Paul Mokeski,213.0,113.0,1957.0,1980.0,1991.0,C-F,"January 3, 1957",,
1399,Sidney Moncrief,190.0,81.0,1957.0,1980.0,1991.0,G,"September 21, 1957",,
1400,Calvin Natt,198.0,99.0,1957.0,1980.0,1990.0,F,"January 8, 1957",,
1401,Sylvester Norris,211.0,99.0,1957.0,1980.0,1980.0,C,"February 18, 1957",,
1402,Wiley Peck,201.0,99.0,1957.0,1980.0,1980.0,G,"September 15, 1957",,
1403,Sam Pellom,206.0,102.0,1951.0,1980.0,1983.0,F-C,"October 2, 1951",,
1404,Clint Richardson,190.0,88.0,1956.0,1980.0,1987.0,G,"August 7, 1956",,
1405,Cliff Robinson,206.0,99.0,1960.0,1980.0,1992.0,F,"March 13, 1960",,
1406,Jim Spanarkel,196.0,86.0,1957.0,1980.0,1984.0,G-F,"June 28, 1957",,
1407,Bernard Toone,206.0,95.0,1956.0,1980.0,1980.0,F,"July 14, 1956",,
1408,Duck Williams,188.0,81.0,1956.0,1980.0,1980.0,G,"August 2, 1956",,
1409,Sly Williams,201.0,95.0,1958.0,1980.0,1986.0,F-G,"January 26, 1958",,
1410,Bubba Wilson,190.0,79.0,1955.0,1980.0,1980.0,G,"August 7, 1955",,
1411,Tony Zeno,203.0,95.0,1957.0,1980.0,1980.0,F,"October 1, 1957",,
